Федеральный округ,Область,Населённый пункт,Зона влажности,Субъект РФ,,Источник: https://bim-proektstroy.ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD-%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D1%87%D0%BD%D0%B8%D0%BA-%D0%B7%D0%BE%D0%BD-%D0%B2%D0%BB%D0%B0%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%BF%D0%BE-%D1%80%D0%B5/
Центральный,Белгородская область,Белгород,нормальная,Белгородская область,,НП Красноярского Края и Республики Саха отнесены к зонам субъектов РФ на основе широты.
Центральный,Белгородская область,Алексеевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Алейниково,нормальная,Белгородская область,,
Центральный,Белгородская область,Алексеенково,нормальная,Белгородская область,,
Центральный,Белгородская область,Афанасьевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Бабичев,нормальная,Белгородская область,,
Центральный,Белгородская область,Батлуков,нормальная,Белгородская область,,
Центральный,Белгородская область,Белозорово,нормальная,Белгородская область,,
Центральный,Белгородская область,Бережной,нормальная,Белгородская область,,
Центральный,Белгородская область,Берёзки,нормальная,Белгородская область,,
Центральный,Белгородская область,Березняги-Вторые,нормальная,Белгородская область,,
Центральный,Белгородская область,Ближнее Чесночное,нормальная,Белгородская область,,
Центральный,Белгородская область,Божково,нормальная,Белгородская область,,
Центральный,Белгородская область,Бубликово,нормальная,Белгородская область,,
Центральный,Белгородская область,Варваровка,нормальная,Белгородская область,,
Центральный,Белгородская область,Васильченков,нормальная,Белгородская область,,
Центральный,Белгородская область,Власов,нормальная,Белгородская область,,
Центральный,Белгородская область,Волков,нормальная,Белгородская область,,
Центральный,Белгородская область,Воробьёво,нормальная,Белгородская область,,
Центральный,Белгородская область,Гарбузово,нормальная,Белгородская область,,
Центральный,Белгородская область,Гезов,нормальная,Белгородская область,,
Центральный,Белгородская область,Геращенково,нормальная,Белгородская область,,
Центральный,Белгородская область,Глуховка,нормальная,Белгородская область,,
Центральный,Белгородская область,Голубинский,нормальная,Белгородская область,,
Центральный,Белгородская область,Городище,нормальная,Белгородская область,,
Центральный,Белгородская область,Гречаников,нормальная,Белгородская область,,
Центральный,Белгородская область,Дальнее Чесночное,нормальная,Белгородская область,,
Центральный,Белгородская область,Дудчин,нормальная,Белгородская область,,
Центральный,Белгородская область,Жуково,нормальная,Белгородская область,,
Центральный,Белгородская область,Запольное,нормальная,Белгородская область,,
Центральный,Белгородская область,Зварыкино,нормальная,Белгородская область,,
Центральный,Белгородская область,Иващенково,нормальная,Белгородская область,,
Центральный,Белгородская область,Игнатов,нормальная,Белгородская область,,
Центральный,Белгородская область,Иловка,нормальная,Белгородская область,,
Центральный,Белгородская область,Ильинка,нормальная,Белгородская область,,
Центральный,Белгородская область,Калитва,нормальная,Белгородская область,,
Центральный,Белгородская область,Камышеватое,нормальная,Белгородская область,,
Центральный,Белгородская область,Кириченков,нормальная,Белгородская область,,
Центральный,Белгородская область,Климов,нормальная,Белгородская область,,
Центральный,Белгородская область,Ковалево,нормальная,Белгородская область,,
Центральный,Белгородская область,Колтуновка,нормальная,Белгородская область,,
Центральный,Белгородская область,Копанец,нормальная,Белгородская область,,
Центральный,Белгородская область,Красное,нормальная,Белгородская область,,
Центральный,Белгородская область,Кукаречин,нормальная,Белгородская область,,
Центральный,Белгородская область,Кулешов,нормальная,Белгородская область,,
Центральный,Белгородская область,Куприянов,нормальная,Белгородская область,,
Центральный,Белгородская область,Кущино,нормальная,Белгородская область,,
Центральный,Белгородская область,Лесиковка,нормальная,Белгородская область,,
Центральный,Белгородская область,Луценково,нормальная,Белгородская область,,
Центральный,Белгородская область,Матрёно-Гезово,нормальная,Белгородская область,,
Центральный,Белгородская область,Меняйлово,нормальная,Белгородская область,,
Центральный,Белгородская область,Мухоудеровка,нормальная,Белгородская область,,
Центральный,Белгородская область,Надеждовка,нормальная,Белгородская область,,
Центральный,Белгородская область,Неменущий,нормальная,Белгородская область,,
Центральный,Белгородская область,Николаевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Николаевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Новосёловка,нормальная,Белгородская область,,
Центральный,Белгородская область,Орлов,нормальная,Белгородская область,,
Центральный,Белгородская область,Осадчее,нормальная,Белгородская область,,
Центральный,Белгородская область,Осьмаков,нормальная,Белгородская область,,
